노선번호,노선아이디,정류소아이디,정류소순번,정류소명,정류소번호,x,y
101,228000179,204000043,43,오야동.신촌동행정복지센터, 05020,127.1071167,37.4552833
101,228000179,204000042,44,신촌동앞, 05022,127.1077667,37.4598167
101,228000179,122000315,45,세곡동사거리, 91128,127.1086167,37.4656667
101,228000179,122000316,46,방죽마을, 91126,127.1072333,37.47245
101,228000179,122000317,47,래미안포레아파트, 91123,127.1065167,37.4752333
101,228000179,122000743,48,LH수서아파트,,127.1059833,37.4773833
101,228000179,122000318,49,쟁골마을, 91121,127.1049333,37.4821167
101,228000179,122000718,50,고속철도수서역,,127.1044333,37.4848167
101,228000179,122000302,51,수서역5번출구,,127.1024333,37.4869167
101,228000179,122000303,52,수서역.로즈데일빌딩, 91119,127.1028333,37.4873833
101,228000179,122000747,53,수서역6번출구,,127.1025167,37.4864167
101,228000179,122000717,54,고속철도수서역,,127.1036167,37.4849667
101,228000179,122000319,55,쟁골마을, 91120,127.1043667,37.4827833
101,228000179,122000744,56,LH수서아파트,,127.1054833,37.4782667
101,228000179,122000320,57,래미안포레아파트, 91122,127.1062333,37.4750667
101,228000179,122000321,58,방죽마을, 91125,127.1069333,37.4722667
101,228000179,122000304,59,세곡동주민센터,,127.1078333,37.4689833
101,228000179,122000308,60,세곡동사거리,,127.1079,37.4637167
101,228000179,204000041,61,신촌동앞, 05021,127.1072667,37.4592167
101,228000179,204000040,62,오야동.신촌동행정복지센터, 05019,127.1065333,37.4544
101,228000179,204000039,63,효성고등학교, 05016,127.1050167,37.4490167
101,228000179,204000057,64,공군아파트, 05012,127.1036,37.4457667
101,228000179,204000222,65,공군부대제2정문.면회실, 05198,127.10345,37.4386333
101,228000179,204000038,66,등자리, 05011,127.1031833,37.4341833
101,228000179,204000299,67,고등마을아파트, 05272,127.0984667,37.4303833
101,228000179,204000297,68,왕남초교.판교밸리포레자이아파트, 05270,127.0959833,37.4298833
101,228000179,204000033,69,연내울교차로, 05035,127.0942333,37.4274833
101,228000179,204000338,70,고산근린공원, 05328,127.0995833,37.4256167
101,228000179,204000037,71,고등119안전센터, 05007,127.1020333,37.4246
101,228000179,204000061,72,시흥사거리, 05006,127.1019167,37.4207667
101,228000179,204000199,73,나라기록관.코이카, 05181,127.101,37.4153833
101,228000179,204000060,74,판교제2테크노밸리, 05001,127.09935,37.4116833
101,228000179,206000565,75,유라코퍼레이션.SK케미칼, 07511,127.1076833,37.4030667
101,228000179,206000678,76,H스퀘어.삼환하이펙스, 07479,127.10945,37.40185
101,228000179,206000731,77,엔씨소프트.안랩, 07631,127.1094667,37.3994667
101,228000179,206000679,78,판교역북편, 07073,127.1113833,37.3961167
101,228000179,206000637,79,판교역동편, 07570,127.1127,37.3953833
101,228000179,206000536,80,백현마을4단지, 07493,127.1156833,37.3916667
101,228000179,206000537,81,성남역.백현마을3단지, 07420,127.11815,37.3917833
101,228000179,206000239,82,이매촌한신.서현역.AK프라자, 07168,127.1242333,37.3883167
101,228000179,206000238,83,양현보도육교, 07321,127.1287667,37.3843333
101,228000179,206000237,84,서현중학교, 07225,127.1341167,37.3809333
101,228000179,206000052,85,임광아파트정문.효자촌입구.분당중앙교회, 07241,127.1375833,37.3778667
101,228000179,206000051,86,분당등기소, 07238,127.1367,37.3743833
101,228000179,206000128,87,삼환아파트, 07233,127.1352333,37.37335
101,228000179,206000050,88,샛별마을동성아파트, 07216,127.132,37.3711333
101,228000179,206000049,89,분당동행정복지센터, 07204,127.1295,37.3699667
101,228000179,206000048,90,동국대한방병원.신성아파트.수내고교, 07300,127.12815,37.3684667
101,228000179,206000047,91,수내동파출소.동국대한방병원, 07186,127.1266,37.3667667
101,228000179,206000046,92,한솔마을청구아파트, 07156,127.1233667,37.3643
101,228000179,206000045,93,정든마을.우성아파트, 07148,127.1228,37.3625333
101,228000179,206000044,94,동아2차아파트.우성6차아파트, 07445,127.1229333,37.36135
101,228000179,206000672,95,분당중앙고앞, 07472,127.1226333,37.35985
101,228000179,206000043,96,이마트앞, 07129,127.1188833,37.3583
101,228000179,206000178,97,더샵분당파크리버.헬스케어혁신파크, 07119,127.1184833,37.3551333
101,228000179,206000177,98,청솔마을.주공9단지.동아아파트, 07101,127.1157333,37.3518833
101,228000179,206000272,99,미금역.농협.2001아울렛, 07070,127.1105,37.3501833
101,228000179,206000094,100,까치마을건영빌라.구미도서관, 07054,127.1086667,37.3475
101,228000179,206000216,101,하얀마을, 07055,127.1086833,37.3441167
