연도,월,시간,이용객수,순위,노선,노선아이디,기점,종점,배차간격(평일)(분),첫차시간,막차시간,,,,
2023,1,08시~09시,510,27,342,204000159,영원무역,청계산옛골,15,0500,2200,,,,
2023,1,08시~09시,2153,8,350,204000044,상대원차고지,한국학중앙연구원,7,0500,2230,,,,
2023,1,08시~09시,1073,16,357,204000007,상대원차고지,삼부아파트,15,0500,2230,,,,
2023,1,08시~09시,39,37,370,204000131,고등마을아파트,백현동종점,25,0500,2200,,,,
2023,1,08시~09시,1095,15,380,204000079,동분당더퍼스트정문,판교대장초·중학교,15,0450,2200,,,,
2023,1,08시~09시,382,33,382,204000076,성남동대형주차장,(임시)금토동삼거리,23,0500,2200,,,,
2023,1,08시~09시,524,26,390,204000051,사송동.종점,동백역.용인세브란스병원,15,0520,2300,,,,
2023,1,08시~09시,2477,6,50,204000012,선경아파트,복정역환승센터1번승강장,7,0500,2230,,,,
2023,1,08시~09시,5067,2,51,204000021,사기막골,서울대병원,5,0420,2200,,,,
2023,1,08시~09시,1434,13,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,12,0430,2200,,,,
2023,1,08시~09시,3588,3,57,204000005,선경아파트,세곡동사거리,6,0500,2230,,,,
2023,1,08시~09시,1275,14,6,204000004,상대원차고지,남한산성입구.양지파출소,8,0530,2240,,,,
2023,1,08시~09시,601,23,60,204000013,차고지대기(경유),복정역환승센터1번승강장,15,0500,2200,,,,
2023,1,08시~09시,1580,12,720-1A,204000151,오리역,남한산성입구.양지파출소,10,0500,2300,,,,
2023,1,08시~09시,254,34,810,204000174,그린빌리지,수진역.성호시장.성일중고입구,15,0600,2300,,,,
2023,1,08시~09시,408,32,811,204000173,도촌9단지후문,수진역.성호시장.성일중고입구,15,0600,2300,,,,
2023,1,08시~09시,1847,10,33-1,204000019,산성동,청구아파트,14,0410,2200,,,,
2023,1,08시~09시,539,24,누리1,204000145,성남시장례문화사업소,쇳골마을.궁내동톨게이트,17,0530,2230,,,,
2023,1,08시~09시,786,20,누리2,204000146,사송동종점,국군수도병원,16,0630,2215,,,,
2023,1,08시~09시,502,28,누리3,204000147,뫼루니육교,럭키타운,17,0500,2200,,,,
2023,1,08시~09시,3,38,누리4,204000155,사송동.종점,동원동,18,0500,2200,,,,
2023,1,09시~10시,3476,1,3-1,205000003,광주차고지,사기막골,10,0440,2300,,,,
2023,1,09시~10시,257,27,101,228000179,오리역,수서역5번출구,15,0500,2210,,,,
2023,1,09시~10시,465,19,103,204000060,도촌동9단지앞,사당역(중),18,0500,2150,,,,
2023,1,09시~10시,100,35,200,204000029,도촌동행정복지센터,거여역5번출구,30,0500,2200,,,,
2023,1,09시~10시,2025,3,220,204000022,영원무역,한국학중앙연구원,11,0430,2220,,,,
2023,1,09시~10시,373,23,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,15,0450,2220,,,,
2023,1,09시~10시,277,26,240,204000032,도촌동행정복지센터,남한산성입구,7,0500,2300,,,,
2023,1,09시~10시,1349,8,250,204000048,도촌동행정복지센터,궁내동.궁안마을,12,0455,2230,,,,
2023,1,09시~10시,2006,4,300,206000003,오리역,은대미,5,0450,2330,,,,
2023,1,09시~10시,378,22,310,204000163,오리역,(임시)금토동삼거리,10,0500,2230,,,,
2023,1,09시~10시,571,16,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,12,0500,2200,,,,
2023,1,09시~10시,1327,10,33,204000020,사기막골,율동공원,12,0420,2200,,,,
2023,1,09시~10시,1333,9,330,204000039,산성동,운중초등학교,10,0430,2200,,,,
2023,1,09시~10시,203,30,331,204000084,성남동대형주차장,고속철도수서역,18,0500,2200,,,,
2023,1,09시~10시,429,20,340,204000040,판교대장로동측,영원무역,17,0440,2200,,,,
2023,1,09시~10시,389,21,341,204000067,운중동먹거리촌,청계산입구역,17,0450,2200,,,,
2023,1,09시~10시,254,28,342,204000159,영원무역,청계산옛골,15,0500,2200,,,,
2023,1,09시~10시,1385,7,350,204000044,상대원차고지,한국학중앙연구원,7,0500,2230,,,,
2023,1,09시~10시,559,17,357,204000007,상대원차고지,삼부아파트,15,0500,2230,,,,
2023,1,09시~10시,33,36,370,204000131,고등마을아파트,백현동종점,25,0500,2200,,,,
2023,1,09시~10시,925,11,380,204000079,동분당더퍼스트정문,판교대장초·중학교,15,0450,2200,,,,
2023,1,09시~10시,193,33,382,204000076,성남동대형주차장,(임시)금토동삼거리,23,0500,2200,,,,
2023,1,09시~10시,313,25,390,204000051,사송동.종점,동백역.용인세브란스병원,15,0520,2300,,,,
2023,1,09시~10시,1608,6,50,204000012,선경아파트,복정역환승센터1번승강장,7,0500,2230,,,,
2023,1,09시~10시,2991,2,51,204000021,사기막골,서울대병원,5,0420,2200,,,,
2023,1,09시~10시,874,13,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,12,0430,2200,,,,
2023,1,09시~10시,2001,5,57,204000005,선경아파트,세곡동사거리,6,0500,2230,,,,
2023,1,09시~10시,503,18,6,204000004,상대원차고지,남한산성입구.양지파출소,8,0530,2240,,,,
2023,1,09시~10시,248,29,60,204000013,차고지대기(경유),복정역환승센터1번승강장,15,0500,2200,,,,
2023,1,09시~10시,765,14,720-1A,204000151,오리역,남한산성입구.양지파출소,10,0500,2300,,,,
2023,1,09시~10시,125,34,810,204000174,그린빌리지,수진역.성호시장.성일중고입구,15,0600,2300,,,,
2023,1,09시~10시,199,32,811,204000173,도촌9단지후문,수진역.성호시장.성일중고입구,15,0600,2300,,,,
2023,1,09시~10시,907,12,33-1,204000019,산성동,청구아파트,14,0410,2200,,,,
2023,1,09시~10시,317,24,누리1,204000145,성남시장례문화사업소,쇳골마을.궁내동톨게이트,17,0530,2230,,,,
2023,1,09시~10시,651,15,누리2,204000146,사송동종점,국군수도병원,16,0630,2215,,,,
2023,1,09시~10시,202,31,누리3,204000147,뫼루니육교,럭키타운,17,0500,2200,,,,
2023,1,09시~10시,23,37,누리4,204000155,사송동.종점,동원동,18,0500,2200,,,,
2023,1,10시~11시,3220,1,3-1,205000003,광주차고지,사기막골,10,0440,2300,,,,
2023,1,10시~11시,146,30,101,228000179,오리역,수서역5번출구,15,0500,2210,,,,
2023,1,10시~11시,224,24,103,204000060,도촌동9단지앞,사당역(중),18,0500,2150,,,,
2023,1,10시~11시,55,34,200,204000029,도촌동행정복지센터,거여역5번출구,30,0500,2200,,,,
2023,1,10시~11시,1656,3,220,204000022,영원무역,한국학중앙연구원,11,0430,2220,,,,
2023,1,10시~11시,204,26,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,15,0450,2220,,,,
2023,1,10시~11시,260,19,240,204000032,도촌동행정복지센터,남한산성입구,7,0500,2300,,,,
2023,1,10시~11시,887,8,250,204000048,도촌동행정복지센터,궁내동.궁안마을,12,0455,2230,,,,
2023,1,10시~11시,1483,5,300,206000003,오리역,은대미,5,0450,2330,,,,
2023,1,10시~11시,210,25,310,204000163,오리역,(임시)금토동삼거리,10,0500,2230,,,,
2023,1,10시~11시,311,16,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,12,0500,2200,,,,
2023,1,10시~11시,963,7,33,204000020,사기막골,율동공원,12,0420,2200,,,,
2023,1,10시~11시,748,10,330,204000039,산성동,운중초등학교,10,0430,2200,,,,
2023,1,10시~11시,141,31,331,204000084,성남동대형주차장,고속철도수서역,18,0500,2200,,,,
2023,1,10시~11시,297,17,340,204000040,판교대장로동측,영원무역,17,0440,2200,,,,
2023,1,10시~11시,259,20,341,204000067,운중동먹거리촌,청계산입구역,17,0450,2200,,,,
2023,1,10시~11시,172,28,342,204000159,영원무역,청계산옛골,15,0500,2200,,,,
2023,1,10시~11시,762,9,350,204000044,상대원차고지,한국학중앙연구원,7,0500,2230,,,,
2023,1,10시~11시,186,27,357,204000007,상대원차고지,삼부아파트,15,0500,2230,,,,
2023,1,10시~11시,5,36,370,204000131,고등마을아파트,백현동종점,25,0500,2200,,,,
2023,1,10시~11시,560,11,380,204000079,동분당더퍼스트정문,판교대장초·중학교,15,0450,2200,,,,
2023,1,10시~11시,54,35,382,204000076,성남동대형주차장,(임시)금토동삼거리,23,0500,2200,,,,
2023,1,10시~11시,290,18,390,204000051,사송동.종점,동백역.용인세브란스병원,15,0520,2300,,,,
2023,1,10시~11시,1068,6,50,204000012,선경아파트,복정역환승센터1번승강장,7,0500,2230,,,,
2023,1,10시~11시,2661,2,51,204000021,사기막골,서울대병원,5,0420,2200,,,,
2023,1,10시~11시,439,14,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,12,0430,2200,,,,
