연도,월,시간,이용객수,순위,노선,노선아이디,기점,종점,배차간격(토요일)(분),배차간격(일요일)(분),첫차시간,막차시간
2023,1,07시~08시,6,35,누리4,204000155,사송동.종점,동원동,55,55,0500,2200
2023,1,08시~09시,114,26,101,228000179,오리역,수서역5번출구,45,45,0500,2210
2023,1,08시~09시,167,22,103,204000060,도촌동9단지앞,사당역(중),40,40,0500,2150
2023,1,08시~09시,23,34,200,204000029,도촌동행정복지센터,거여역5번출구,65,65,0500,2200
2023,1,08시~09시,1171,3,220,204000022,영원무역,한국학중앙연구원,27,27,0430,2220
2023,1,08시~09시,107,27,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,37,37,0450,2220
2023,1,08시~09시,186,19,240,204000032,도촌동행정복지센터,남한산성입구,11,11,0500,2300
2023,1,08시~09시,612,7,250,204000048,도촌동행정복지센터,궁내동.궁안마을,25,25,0455,2230
2023,1,08시~09시,1376,2,300,206000003,오리역,은대미,30,30,0450,2330
2023,1,08시~09시,55,31,310,204000163,오리역,(임시)금토동삼거리,25,25,0500,2230
2023,1,08시~09시,202,17,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,35,35,0500,2200
2023,1,08시~09시,733,6,33,204000020,사기막골,율동공원,32,32,0420,2200
2023,1,08시~09시,569,9,330,204000039,산성동,운중초등학교,25,25,0430,2200
2023,1,08시~09시,171,21,331,204000084,성남동대형주차장,고속철도수서역,35,35,0500,2200
2023,1,08시~09시,239,13,340,204000040,판교대장로동측,영원무역,40,40,0440,2200
2023,1,08시~09시,236,14,341,204000067,운중동먹거리촌,청계산입구역,30,30,0450,2200
2023,1,08시~09시,166,23,342,204000159,영원무역,청계산옛골,45,45,0500,2200
2023,1,08시~09시,490,10,350,204000044,상대원차고지,한국학중앙연구원,12,12,0500,2230
2023,1,08시~09시,225,15,357,204000007,상대원차고지,삼부아파트,28,28,0500,2230
2023,1,08시~09시,13,35,370,204000131,고등마을아파트,백현동종점,60,60,0500,2200
2023,1,08시~09시,173,20,380,204000079,동분당더퍼스트정문,판교대장초·중학교,45,45,0450,2200
2023,1,08시~09시,69,30,382,204000076,성남동대형주차장,(임시)금토동삼거리,65,65,0500,2200
2023,1,08시~09시,81,28,390,204000051,사송동.종점,동백역.용인세브란스병원,40,40,0520,2300
2023,1,08시~09시,966,5,50,204000012,선경아파트,복정역환승센터1번승강장,22,22,0500,2230
2023,1,08시~09시,2065,1,51,204000021,사기막골,서울대병원,23,23,0420,2200
