연도,월,시간,이용객수,순위,노선,노선아이디,기점,종점,배차간격(토요일)(분),배차간격(일요일)(분),첫차시간,막차시간
2023,1,08시~09시,305,11,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,37,37,0430,2200
2023,1,08시~09시,1072,4,57,204000005,선경아파트,세곡동사거리,10,10,0500,2230
2023,1,08시~09시,291,12,6,204000004,상대원차고지,남한산성입구.양지파출소,13,13,0530,2240
2023,1,08시~09시,224,16,60,204000013,차고지대기(경유),복정역환승센터1번승강장,37,37,0500,2200
2023,1,08시~09시,578,8,720-1A,204000151,오리역,남한산성입구.양지파출소,20,20,0500,2300
2023,1,08시~09시,54,32,810,204000174,그린빌리지,수진역.성호시장.성일중고입구,35,35,0600,2300
2023,1,08시~09시,71,29,811,204000173,도촌9단지후문,수진역.성호시장.성일중고입구,40,40,0600,2300
2023,1,08시~09시,148,24,누리1,204000145,성남시장례문화사업소,쇳골마을.궁내동톨게이트,33,33,0530,2230
2023,1,08시~09시,194,18,누리2,204000146,사송동종점,국군수도병원,32,32,0630,2215
2023,1,08시~09시,116,25,누리3,204000147,뫼루니육교,럭키타운,33,33,0500,2200
2023,1,08시~09시,5,36,누리4,204000155,사송동.종점,동원동,55,55,0500,2200
2023,1,09시~10시,113,29,101,228000179,오리역,수서역5번출구,45,45,0500,2210
2023,1,09시~10시,239,16,103,204000060,도촌동9단지앞,사당역(중),40,40,0500,2150
2023,1,09시~10시,42,33,200,204000029,도촌동행정복지센터,거여역5번출구,65,65,0500,2200
2023,1,09시~10시,1208,4,220,204000022,영원무역,한국학중앙연구원,27,27,0430,2220
2023,1,09시~10시,149,26,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,37,37,0450,2220
2023,1,09시~10시,181,20,240,204000032,도촌동행정복지센터,남한산성입구,11,11,0500,2300
2023,1,09시~10시,878,6,250,204000048,도촌동행정복지센터,궁내동.궁안마을,25,25,0455,2230
2023,1,09시~10시,1745,2,300,206000003,오리역,은대미,30,30,0450,2330
2023,1,09시~10시,122,28,310,204000163,오리역,(임시)금토동삼거리,25,25,0500,2230
2023,1,09시~10시,164,22,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,35,35,0500,2200
2023,1,09시~10시,792,7,33,204000020,사기막골,율동공원,32,32,0420,2200
2023,1,09시~10시,590,9,330,204000039,산성동,운중초등학교,25,25,0430,2200
2023,1,09시~10시,198,19,331,204000084,성남동대형주차장,고속철도수서역,35,35,0500,2200
2023,1,09시~10시,176,21,340,204000040,판교대장로동측,영원무역,40,40,0440,2200
2023,1,09시~10시,324,12,341,204000067,운중동먹거리촌,청계산입구역,30,30,0450,2200
2023,1,09시~10시,143,27,342,204000159,영원무역,청계산옛골,45,45,0500,2200
2023,1,09시~10시,477,10,350,204000044,상대원차고지,한국학중앙연구원,12,12,0500,2230
2023,1,09시~10시,271,15,357,204000007,상대원차고지,삼부아파트,28,28,0500,2230
2023,1,09시~10시,36,34,370,204000131,고등마을아파트,백현동종점,60,60,0500,2200
2023,1,09시~10시,164,23,380,204000079,동분당더퍼스트정문,판교대장초·중학교,45,45,0450,2200
2023,1,09시~10시,108,31,382,204000076,성남동대형주차장,(임시)금토동삼거리,65,65,0500,2200
2023,1,09시~10시,161,24,390,204000051,사송동.종점,동백역.용인세브란스병원,40,40,0520,2300
2023,1,09시~10시,1144,5,50,204000012,선경아파트,복정역환승센터1번승강장,22,22,0500,2230
2023,1,09시~10시,2237,1,51,204000021,사기막골,서울대병원,23,23,0420,2200
2023,1,09시~10시,408,11,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,37,37,0430,2200
2023,1,09시~10시,1605,3,57,204000005,선경아파트,세곡동사거리,10,10,0500,2230
2023,1,09시~10시,321,14,6,204000004,상대원차고지,남한산성입구.양지파출소,13,13,0530,2240
2023,1,09시~10시,322,13,60,204000013,차고지대기(경유),복정역환승센터1번승강장,37,37,0500,2200
2023,1,09시~10시,650,8,720-1A,204000151,오리역,남한산성입구.양지파출소,20,20,0500,2300
2023,1,09시~10시,79,32,810,204000174,그린빌리지,수진역.성호시장.성일중고입구,35,35,0600,2300
2023,1,09시~10시,110,30,811,204000173,도촌9단지후문,수진역.성호시장.성일중고입구,40,40,0600,2300
2023,1,09시~10시,226,17,누리1,204000145,성남시장례문화사업소,쇳골마을.궁내동톨게이트,33,33,0530,2230
2023,1,09시~10시,214,18,누리2,204000146,사송동종점,국군수도병원,32,32,0630,2215
2023,1,09시~10시,155,25,누리3,204000147,뫼루니육교,럭키타운,33,33,0500,2200
2023,1,09시~10시,21,35,누리4,204000155,사송동.종점,동원동,55,55,0500,2200
2023,1,10시~11시,105,29,101,228000179,오리역,수서역5번출구,45,45,0500,2210
2023,1,10시~11시,165,23,103,204000060,도촌동9단지앞,사당역(중),40,40,0500,2150
2023,1,10시~11시,39,33,200,204000029,도촌동행정복지센터,거여역5번출구,65,65,0500,2200
2023,1,10시~11시,1188,4,220,204000022,영원무역,한국학중앙연구원,27,27,0430,2220
2023,1,10시~11시,150,26,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,37,37,0450,2220
2023,1,10시~11시,256,15,240,204000032,도촌동행정복지센터,남한산성입구,11,11,0500,2300
2023,1,10시~11시,740,6,250,204000048,도촌동행정복지센터,궁내동.궁안마을,25,25,0455,2230
2023,1,10시~11시,1678,2,300,206000003,오리역,은대미,30,30,0450,2330
2023,1,10시~11시,116,28,310,204000163,오리역,(임시)금토동삼거리,25,25,0500,2230
2023,1,10시~11시,164,24,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,35,35,0500,2200
2023,1,10시~11시,731,7,33,204000020,사기막골,율동공원,32,32,0420,2200
2023,1,10시~11시,669,8,330,204000039,산성동,운중초등학교,25,25,0430,2200
2023,1,10시~11시,181,20,331,204000084,성남동대형주차장,고속철도수서역,35,35,0500,2200
2023,1,10시~11시,366,12,340,204000040,판교대장로동측,영원무역,40,40,0440,2200
2023,1,10시~11시,332,13,341,204000067,운중동먹거리촌,청계산입구역,30,30,0450,2200
2023,1,10시~11시,128,27,342,204000159,영원무역,청계산옛골,45,45,0500,2200
2023,1,10시~11시,528,9,350,204000044,상대원차고지,한국학중앙연구원,12,12,0500,2230
2023,1,10시~11시,193,19,357,204000007,상대원차고지,삼부아파트,28,28,0500,2230
2023,1,10시~11시,15,35,370,204000131,고등마을아파트,백현동종점,60,60,0500,2200
2023,1,10시~11시,225,16,380,204000079,동분당더퍼스트정문,판교대장초·중학교,45,45,0450,2200
2023,1,10시~11시,54,32,382,204000076,성남동대형주차장,(임시)금토동삼거리,65,65,0500,2200
2023,1,10시~11시,210,17,390,204000051,사송동.종점,동백역.용인세브란스병원,40,40,0520,2300
2023,1,10시~11시,1040,5,50,204000012,선경아파트,복정역환승센터1번승강장,22,22,0500,2230
2023,1,10시~11시,2025,1,51,204000021,사기막골,서울대병원,23,23,0420,2200
2023,1,10시~11시,369,11,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,37,37,0430,2200
2023,1,10시~11시,1463,3,57,204000005,선경아파트,세곡동사거리,10,10,0500,2230
2023,1,10시~11시,274,14,6,204000004,상대원차고지,남한산성입구.양지파출소,13,13,0530,2240
2023,1,10시~11시,176,21,60,204000013,차고지대기(경유),복정역환승센터1번승강장,37,37,0500,2200
2023,1,10시~11시,507,10,720-1A,204000151,오리역,남한산성입구.양지파출소,20,20,0500,2300
2023,1,10시~11시,82,30,810,204000174,그린빌리지,수진역.성호시장.성일중고입구,35,35,0600,2300
2023,1,10시~11시,81,31,811,204000173,도촌9단지후문,수진역.성호시장.성일중고입구,40,40,0600,2300
2023,1,10시~11시,207,18,누리1,204000145,성남시장례문화사업소,쇳골마을.궁내동톨게이트,33,33,0530,2230
2023,1,10시~11시,170,22,누리2,204000146,사송동종점,국군수도병원,32,32,0630,2215
2023,1,10시~11시,151,25,누리3,204000147,뫼루니육교,럭키타운,33,33,0500,2200
2023,1,10시~11시,22,34,누리4,204000155,사송동.종점,동원동,55,55,0500,2200
2023,1,11시~12시,100,29,101,228000179,오리역,수서역5번출구,45,45,0500,2210
2023,1,11시~12시,184,23,103,204000060,도촌동9단지앞,사당역(중),40,40,0500,2150
2023,1,11시~12시,53,33,200,204000029,도촌동행정복지센터,거여역5번출구,65,65,0500,2200
2023,1,11시~12시,1209,4,220,204000022,영원무역,한국학중앙연구원,27,27,0430,2220
2023,1,11시~12시,167,25,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,37,37,0450,2220
2023,1,11시~12시,279,15,240,204000032,도촌동행정복지센터,남한산성입구,11,11,0500,2300
2023,1,11시~12시,874,7,250,204000048,도촌동행정복지센터,궁내동.궁안마을,25,25,0455,2230
2023,1,11시~12시,1843,2,300,206000003,오리역,은대미,30,30,0450,2330
2023,1,11시~12시,119,27,310,204000163,오리역,(임시)금토동삼거리,25,25,0500,2230
2023,1,11시~12시,197,21,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,35,35,0500,2200
2023,1,11시~12시,752,8,33,204000020,사기막골,율동공원,32,32,0420,2200
2023,1,11시~12시,958,6,330,204000039,산성동,운중초등학교,25,25,0430,2200
2023,1,11시~12시,225,19,331,204000084,성남동대형주차장,고속철도수서역,35,35,0500,2200
2023,1,11시~12시,290,14,340,204000040,판교대장로동측,영원무역,40,40,0440,2200
2023,1,11시~12시,325,13,341,204000067,운중동먹거리촌,청계산입구역,30,30,0450,2200
2023,1,11시~12시,103,28,342,204000159,영원무역,청계산옛골,45,45,0500,2200
2023,1,11시~12시,586,9,350,204000044,상대원차고지,한국학중앙연구원,12,12,0500,2230
2023,1,11시~12시,148,26,357,204000007,상대원차고지,삼부아파트,28,28,0500,2230
2023,1,11시~12시,20,36,370,204000131,고등마을아파트,백현동종점,60,60,0500,2200
2023,1,11시~12시,241,17,380,204000079,동분당더퍼스트정문,판교대장초·중학교,45,45,0450,2200
2023,1,11시~12시,63,32,382,204000076,성남동대형주차장,(임시)금토동삼거리,65,65,0500,2200
2023,1,11시~12시,179,24,390,204000051,사송동.종점,동백역.용인세브란스병원,40,40,0520,2300
2023,1,11시~12시,1205,5,50,204000012,선경아파트,복정역환승센터1번승강장,22,22,0500,2230
2023,1,11시~12시,2143,1,51,204000021,사기막골,서울대병원,23,23,0420,2200
2023,1,11시~12시,335,11,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,37,37,0430,2200
2023,1,11시~12시,1773,3,57,204000005,선경아파트,세곡동사거리,10,10,0500,2230
2023,1,11시~12시,334,12,6,204000004,상대원차고지,남한산성입구.양지파출소,13,13,0530,2240
2023,1,11시~12시,258,16,60,204000013,차고지대기(경유),복정역환승센터1번승강장,37,37,0500,2200
2023,1,11시~12시,558,10,720-1A,204000151,오리역,남한산성입구.양지파출소,20,20,0500,2300
2023,1,11시~12시,92,30,810,204000174,그린빌리지,수진역.성호시장.성일중고입구,35,35,0600,2300
2023,1,11시~12시,85,31,811,204000173,도촌9단지후문,수진역.성호시장.성일중고입구,40,40,0600,2300
2023,1,11시~12시,238,18,누리1,204000145,성남시장례문화사업소,쇳골마을.궁내동톨게이트,33,33,0530,2230
2023,1,11시~12시,193,22,누리2,204000146,사송동종점,국군수도병원,32,32,0630,2215
2023,1,11시~12시,199,20,누리3,204000147,뫼루니육교,럭키타운,33,33,0500,2200
2023,1,11시~12시,23,35,누리4,204000155,사송동.종점,동원동,55,55,0500,2200
2023,1,12시~13시,112,28,101,228000179,오리역,수서역5번출구,45,45,0500,2210
2023,1,12시~13시,172,23,103,204000060,도촌동9단지앞,사당역(중),40,40,0500,2150
