시/군/구,연도,월,노선,시종점,일시,시간,이용객수
성남시,2023,1,3-1,광주차고지-사기막골,평일,06시~07시,1062
성남시,2023,1,3-1,광주차고지-사기막골,평일,06시~07시,142
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,06시~07시,142
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,06시~07시,1062
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,07시~08시,2024
성남시,2023,1,3-1,광주차고지-사기막골,평일,07시~08시,352
성남시,2023,1,3-1,광주차고지-사기막골,평일,07시~08시,2024
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,07시~08시,352
성남시,2023,1,3-1,광주차고지-사기막골,평일,08시~09시,2477
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,08시~09시,450
성남시,2023,1,3-1,광주차고지-사기막골,평일,08시~09시,450
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,08시~09시,2477
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,09시~10시,313
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,09시~10시,1425
성남시,2023,1,3-1,광주차고지-사기막골,평일,09시~10시,1425
성남시,2023,1,3-1,광주차고지-사기막골,평일,09시~10시,313
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,10시~11시,242
성남시,2023,1,3-1,광주차고지-사기막골,평일,10시~11시,242
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,10시~11시,1368
성남시,2023,1,3-1,광주차고지-사기막골,평일,10시~11시,1368
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,11시~12시,241
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,11시~12시,1584
성남시,2023,1,3-1,광주차고지-사기막골,평일,11시~12시,1584
성남시,2023,1,3-1,광주차고지-사기막골,평일,11시~12시,241
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,12시~13시,319
성남시,2023,1,3-1,광주차고지-사기막골,평일,12시~13시,319
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,12시~13시,1764
성남시,2023,1,3-1,광주차고지-사기막골,평일,12시~13시,1764
성남시,2023,1,3-1,광주차고지-사기막골,평일,13시~14시,1718
성남시,2023,1,3-1,광주차고지-사기막골,평일,13시~14시,322
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,13시~14시,322
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,13시~14시,1718
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,14시~15시,1815
성남시,2023,1,3-1,광주차고지-사기막골,평일,14시~15시,319
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,14시~15시,319
성남시,2023,1,3-1,광주차고지-사기막골,평일,14시~15시,1815
성남시,2023,1,3-1,광주차고지-사기막골,평일,15시~16시,247
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,15시~16시,1840
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,15시~16시,247
성남시,2023,1,3-1,광주차고지-사기막골,평일,15시~16시,1840
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,16시~17시,1943
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,16시~17시,245
성남시,2023,1,3-1,광주차고지-사기막골,평일,16시~17시,245
성남시,2023,1,3-1,광주차고지-사기막골,평일,16시~17시,1943
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,17시~18시,408
성남시,2023,1,3-1,광주차고지-사기막골,평일,17시~18시,408
성남시,2023,1,3-1,광주차고지-사기막골,평일,17시~18시,2392
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,17시~18시,2392
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,18시~19시,2495
성남시,2023,1,3-1,광주차고지-사기막골,평일,18시~19시,534
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,18시~19시,534
성남시,2023,1,3-1,광주차고지-사기막골,평일,18시~19시,2495
성남시,2023,1,3-1,광주차고지-사기막골,평일,19시~20시,1947
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,19시~20시,1947
성남시,2023,1,3-1,광주차고지-사기막골,평일,19시~20시,322
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,19시~20시,322
성남시,2023,1,3-1,광주차고지-사기막골,평일,20시~21시,316
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,20시~21시,316
성남시,2023,1,3-1,광주차고지-사기막골,평일,20시~21시,1118
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,20시~21시,1118
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,21시~22시,980
성남시,2023,1,3-1,광주차고지-사기막골,평일,21시~22시,980
성남시,2023,1,3-1,광주차고지-사기막골,평일,21시~22시,324
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,21시~22시,324
성남시,2023,1,3-1,광주차고지-사기막골,평일,22시~23시,378
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,22시~23시,378
성남시,2023,1,3-1,광주차고지-사기막골,평일,22시~23시,875
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,22시~23시,875
성남시,2023,1,3-1,광주차고지-사기막골,평일,23시~24시,136
성남시,2023,1,3-1,광주차고지-사기막골,평일,23시~24시,385
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,23시~24시,136
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,23시~24시,385
성남시,2023,1,300,오리역-은대미,평일,00시~01시,203
성남시,2023,1,300,오리역-은대미,평일,04시~05시,11
성남시,2023,1,300,오리역-은대미,평일,05시~06시,372
성남시,2023,1,300,오리역-은대미,평일,06시~07시,1229
성남시,2023,1,300,오리역-은대미,평일,07시~08시,2252
성남시,2023,1,300,오리역-은대미,평일,08시~09시,3470
성남시,2023,1,300,오리역-은대미,평일,09시~10시,2006
성남시,2023,1,300,오리역-은대미,평일,10시~11시,1483
성남시,2023,1,300,오리역-은대미,평일,11시~12시,1539
성남시,2023,1,300,오리역-은대미,평일,12시~13시,1625
성남시,2023,1,300,오리역-은대미,평일,13시~14시,2009
성남시,2023,1,300,오리역-은대미,평일,14시~15시,2123
성남시,2023,1,300,오리역-은대미,평일,15시~16시,2519
성남시,2023,1,300,오리역-은대미,평일,16시~17시,2322
성남시,2023,1,300,오리역-은대미,평일,17시~18시,2935
성남시,2023,1,300,오리역-은대미,평일,18시~19시,3349
성남시,2023,1,300,오리역-은대미,평일,19시~20시,2231
성남시,2023,1,300,오리역-은대미,평일,20시~21시,1447
성남시,2023,1,300,오리역-은대미,평일,21시~22시,1470
성남시,2023,1,300,오리역-은대미,평일,22시~23시,1258
성남시,2023,1,300,오리역-은대미,평일,23시~24시,884
성남시,2023,1,310,오리역-기업성장센터,평일,00시~01시,11
성남시,2023,1,310,오리역-기업성장센터,평일,05시~06시,28
성남시,2023,1,310,오리역-기업성장센터,평일,06시~07시,121
성남시,2023,1,310,오리역-기업성장센터,평일,07시~08시,253
성남시,2023,1,310,오리역-기업성장센터,평일,08시~09시,413
성남시,2023,1,310,오리역-기업성장센터,평일,09시~10시,378
성남시,2023,1,310,오리역-기업성장센터,평일,10시~11시,210
성남시,2023,1,310,오리역-기업성장센터,평일,11시~12시,123
성남시,2023,1,310,오리역-기업성장센터,평일,12시~13시,147
성남시,2023,1,310,오리역-기업성장센터,평일,13시~14시,151
성남시,2023,1,310,오리역-기업성장센터,평일,14시~15시,130
성남시,2023,1,310,오리역-기업성장센터,평일,15시~16시,124
성남시,2023,1,310,오리역-기업성장센터,평일,16시~17시,238
성남시,2023,1,310,오리역-기업성장센터,평일,17시~18시,359
성남시,2023,1,310,오리역-기업성장센터,평일,18시~19시,337
성남시,2023,1,310,오리역-기업성장센터,평일,19시~20시,372
성남시,2023,1,310,오리역-기업성장센터,평일,20시~21시,150
성남시,2023,1,310,오리역-기업성장센터,평일,21시~22시,134
성남시,2023,1,310,오리역-기업성장센터,평일,22시~23시,155
성남시,2023,1,310,오리역-기업성장센터,평일,23시~24시,68
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,05시~06시,76
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,06시~07시,170
