시/군/구,연도,월,노선,시종점,일시,시간,이용객수
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,18시~19시,211
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,19시~20시,125
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,20시~21시,127
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,21시~22시,95
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,22시~23시,79
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,23시~24시,17
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,05시~06시,46
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,06시~07시,102
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,07시~08시,123
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,08시~09시,186
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,09시~10시,181
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,10시~11시,256
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,11시~12시,279
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,12시~13시,251
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,13시~14시,255
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,14시~15시,312
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,15시~16시,303
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,16시~17시,378
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,17시~18시,294
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,18시~19시,270
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,19시~20시,236
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,20시~21시,184
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,21시~22시,175
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,22시~23시,137
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,주말,23시~24시,75
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,04시~05시,8
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,05시~06시,245
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,06시~07시,343
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,07시~08시,487
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,08시~09시,612
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,09시~10시,878
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,10시~11시,740
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,11시~12시,874
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,12시~13시,1013
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,13시~14시,983
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,14시~15시,906
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,15시~16시,863
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,16시~17시,1046
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,17시~18시,1072
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,18시~19시,1066
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,19시~20시,772
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,20시~21시,643
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,21시~22시,634
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,22시~23시,639
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,주말,23시~24시,153
성남시,2023,1,3-1,광주차고지-사기막골,주말,00시~01시,32
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,00시~01시,32
성남시,2023,1,3-1,광주차고지-사기막골,주말,00시~01시,1
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,00시~01시,1
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,04시~05시,53
성남시,2023,1,3-1,광주차고지-사기막골,주말,04시~05시,53
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,05시~06시,572
성남시,2023,1,3-1,광주차고지-사기막골,주말,05시~06시,572
성남시,2023,1,3-1,광주차고지-사기막골,주말,06시~07시,38
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,06시~07시,38
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,06시~07시,594
성남시,2023,1,3-1,광주차고지-사기막골,주말,06시~07시,594
성남시,2023,1,3-1,광주차고지-사기막골,주말,07시~08시,677
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,07시~08시,76
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,07시~08시,677
성남시,2023,1,3-1,광주차고지-사기막골,주말,07시~08시,76
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,08시~09시,123
성남시,2023,1,3-1,광주차고지-사기막골,주말,08시~09시,123
성남시,2023,1,3-1,광주차고지-사기막골,주말,08시~09시,1128
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,08시~09시,1128
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,09시~10시,1098
성남시,2023,1,3-1,광주차고지-사기막골,주말,09시~10시,1098
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,09시~10시,181
성남시,2023,1,3-1,광주차고지-사기막골,주말,09시~10시,181
성남시,2023,1,3-1,광주차고지-사기막골,주말,10시~11시,1178
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,10시~11시,1178
성남시,2023,1,3-1,광주차고지-사기막골,주말,10시~11시,201
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,10시~11시,201
성남시,2023,1,3-1,광주차고지-사기막골,주말,11시~12시,1360
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,11시~12시,197
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,11시~12시,1360
성남시,2023,1,3-1,광주차고지-사기막골,주말,11시~12시,197
성남시,2023,1,3-1,광주차고지-사기막골,주말,12시~13시,251
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,12시~13시,1372
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,12시~13시,251
성남시,2023,1,3-1,광주차고지-사기막골,주말,12시~13시,1372
성남시,2023,1,3-1,광주차고지-사기막골,주말,13시~14시,1534
성남시,2023,1,3-1,광주차고지-사기막골,주말,13시~14시,271
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,13시~14시,271
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,13시~14시,1534
성남시,2023,1,3-1,광주차고지-사기막골,주말,14시~15시,1468
성남시,2023,1,3-1,광주차고지-사기막골,주말,14시~15시,302
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,14시~15시,1468
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,14시~15시,302
성남시,2023,1,3-1,광주차고지-사기막골,주말,15시~16시,1446
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,15시~16시,1446
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,15시~16시,188
성남시,2023,1,3-1,광주차고지-사기막골,주말,15시~16시,188
성남시,2023,1,3-1,광주차고지-사기막골,주말,16시~17시,172
성남시,2023,1,3-1,광주차고지-사기막골,주말,16시~17시,1490
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,16시~17시,172
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,16시~17시,1490
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,17시~18시,284
성남시,2023,1,3-1,광주차고지-사기막골,주말,17시~18시,1431
성남시,2023,1,3-1,광주차고지-사기막골,주말,17시~18시,284
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,17시~18시,1431
성남시,2023,1,3-1,광주차고지-사기막골,주말,18시~19시,331
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,18시~19시,331
성남시,2023,1,3-1,광주차고지-사기막골,주말,18시~19시,1335
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,18시~19시,1335
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,19시~20시,1030
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,19시~20시,282
성남시,2023,1,3-1,광주차고지-사기막골,주말,19시~20시,1030
성남시,2023,1,3-1,광주차고지-사기막골,주말,19시~20시,282
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,20시~21시,845
성남시,2023,1,3-1,광주차고지-사기막골,주말,20시~21시,845
성남시,2023,1,3-1,광주차고지-사기막골,주말,20시~21시,215
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,20시~21시,215
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,21시~22시,859
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,21시~22시,218
성남시,2023,1,3-1,광주차고지-사기막골,주말,21시~22시,218
성남시,2023,1,3-1,광주차고지-사기막골,주말,21시~22시,859
성남시,2023,1,3-1,광주차고지-사기막골,주말,22시~23시,228
성남시,2023,1,3-1,광주차고지-사기막골,주말,22시~23시,716
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,22시~23시,716
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,22시~23시,228
성남시,2023,1,3-1,광주차고지-사기막골,주말,23시~24시,450
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,23시~24시,133
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,주말,23시~24시,450
성남시,2023,1,3-1,광주차고지-사기막골,주말,23시~24시,133
성남시,2023,1,300,오리역-은대미,주말,00시~01시,246
성남시,2023,1,300,오리역-은대미,주말,04시~05시,8
성남시,2023,1,300,오리역-은대미,주말,05시~06시,322
성남시,2023,1,300,오리역-은대미,주말,06시~07시,798
성남시,2023,1,300,오리역-은대미,주말,07시~08시,1016
성남시,2023,1,300,오리역-은대미,주말,08시~09시,1376
성남시,2023,1,300,오리역-은대미,주말,09시~10시,1745
성남시,2023,1,300,오리역-은대미,주말,10시~11시,1678
성남시,2023,1,300,오리역-은대미,주말,11시~12시,1843
성남시,2023,1,300,오리역-은대미,주말,12시~13시,2174
성남시,2023,1,300,오리역-은대미,주말,13시~14시,2216
성남시,2023,1,300,오리역-은대미,주말,14시~15시,1914
성남시,2023,1,300,오리역-은대미,주말,15시~16시,2162
성남시,2023,1,300,오리역-은대미,주말,16시~17시,2242
성남시,2023,1,300,오리역-은대미,주말,17시~18시,2275
성남시,2023,1,300,오리역-은대미,주말,18시~19시,2183
성남시,2023,1,300,오리역-은대미,주말,19시~20시,1447
성남시,2023,1,300,오리역-은대미,주말,20시~21시,1258
성남시,2023,1,300,오리역-은대미,주말,21시~22시,1300
성남시,2023,1,300,오리역-은대미,주말,22시~23시,1232
성남시,2023,1,300,오리역-은대미,주말,23시~24시,899
성남시,2023,1,310,오리역-기업성장센터,주말,00시~01시,7
성남시,2023,1,310,오리역-기업성장센터,주말,05시~06시,6
성남시,2023,1,310,오리역-기업성장센터,주말,06시~07시,81
성남시,2023,1,310,오리역-기업성장센터,주말,07시~08시,56
성남시,2023,1,310,오리역-기업성장센터,주말,08시~09시,55
성남시,2023,1,310,오리역-기업성장센터,주말,09시~10시,122
성남시,2023,1,310,오리역-기업성장센터,주말,10시~11시,116
성남시,2023,1,310,오리역-기업성장센터,주말,11시~12시,119
성남시,2023,1,310,오리역-기업성장센터,주말,12시~13시,108
성남시,2023,1,310,오리역-기업성장센터,주말,13시~14시,131
성남시,2023,1,310,오리역-기업성장센터,주말,14시~15시,175
성남시,2023,1,310,오리역-기업성장센터,주말,15시~16시,163
성남시,2023,1,310,오리역-기업성장센터,주말,16시~17시,133
성남시,2023,1,310,오리역-기업성장센터,주말,17시~18시,174
성남시,2023,1,310,오리역-기업성장센터,주말,18시~19시,156
성남시,2023,1,310,오리역-기업성장센터,주말,19시~20시,102
성남시,2023,1,310,오리역-기업성장센터,주말,20시~21시,81
성남시,2023,1,310,오리역-기업성장센터,주말,21시~22시,60
성남시,2023,1,310,오리역-기업성장센터,주말,22시~23시,89
성남시,2023,1,310,오리역-기업성장센터,주말,23시~24시,45
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,05시~06시,35
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,06시~07시,56
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,07시~08시,81
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,08시~09시,202
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,09시~10시,164
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,10시~11시,164
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,11시~12시,197
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,12시~13시,127
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,13시~14시,110
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,14시~15시,138
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,15시~16시,133
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,16시~17시,208
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,17시~18시,135
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,18시~19시,174
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,19시~20시,91
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,20시~21시,122
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,21시~22시,100
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,22시~23시,106
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,주말,23시~24시,27
성남시,2023,1,33,사기막골-율동공원,주말,00시~01시,35
성남시,2023,1,33,사기막골-율동공원,주말,04시~05시,71
성남시,2023,1,33,사기막골-율동공원,주말,05시~06시,297
성남시,2023,1,33,사기막골-율동공원,주말,06시~07시,353
성남시,2023,1,33,사기막골-율동공원,주말,07시~08시,454
성남시,2023,1,33,사기막골-율동공원,주말,08시~09시,733
성남시,2023,1,33,사기막골-율동공원,주말,09시~10시,792
성남시,2023,1,33,사기막골-율동공원,주말,10시~11시,731
성남시,2023,1,33,사기막골-율동공원,주말,11시~12시,752
성남시,2023,1,33,사기막골-율동공원,주말,12시~13시,907
성남시,2023,1,33,사기막골-율동공원,주말,13시~14시,850
성남시,2023,1,33,사기막골-율동공원,주말,14시~15시,943
성남시,2023,1,33,사기막골-율동공원,주말,15시~16시,875
성남시,2023,1,33,사기막골-율동공원,주말,16시~17시,1022
성남시,2023,1,33,사기막골-율동공원,주말,17시~18시,1189
성남시,2023,1,33,사기막골-율동공원,주말,18시~19시,1000
성남시,2023,1,33,사기막골-율동공원,주말,19시~20시,791
성남시,2023,1,33,사기막골-율동공원,주말,20시~21시,547
성남시,2023,1,33,사기막골-율동공원,주말,21시~22시,652
성남시,2023,1,33,사기막골-율동공원,주말,22시~23시,568
성남시,2023,1,33,사기막골-율동공원,주말,23시~24시,321
성남시,2023,1,33-1,산성동-청구아파트,주말,00시~01시,21
성남시,2023,1,33-1,산성동-청구아파트,주말,04시~05시,134
성남시,2023,1,33-1,산성동-청구아파트,주말,05시~06시,279
성남시,2023,1,33-1,산성동-청구아파트,주말,06시~07시,376
성남시,2023,1,33-1,산성동-청구아파트,주말,07시~08시,418
성남시,2023,1,33-1,산성동-청구아파트,주말,08시~09시,588
성남시,2023,1,33-1,산성동-청구아파트,주말,09시~10시,611
성남시,2023,1,33-1,산성동-청구아파트,주말,10시~11시,668
성남시,2023,1,33-1,산성동-청구아파트,주말,11시~12시,691
성남시,2023,1,33-1,산성동-청구아파트,주말,12시~13시,775
성남시,2023,1,33-1,산성동-청구아파트,주말,13시~14시,641
성남시,2023,1,33-1,산성동-청구아파트,주말,14시~15시,665
성남시,2023,1,33-1,산성동-청구아파트,주말,15시~16시,552
성남시,2023,1,33-1,산성동-청구아파트,주말,16시~17시,780
성남시,2023,1,33-1,산성동-청구아파트,주말,17시~18시,848
성남시,2023,1,33-1,산성동-청구아파트,주말,18시~19시,684
성남시,2023,1,33-1,산성동-청구아파트,주말,19시~20시,458
성남시,2023,1,33-1,산성동-청구아파트,주말,20시~21시,487
성남시,2023,1,33-1,산성동-청구아파트,주말,21시~22시,320
성남시,2023,1,33-1,산성동-청구아파트,주말,22시~23시,213
성남시,2023,1,33-1,산성동-청구아파트,주말,23시~24시,71
성남시,2023,1,330,산성동-운중초등학교,주말,04시~05시,107
성남시,2023,1,330,산성동-운중초등학교,주말,05시~06시,363
성남시,2023,1,330,산성동-운중초등학교,주말,06시~07시,499
성남시,2023,1,330,산성동-운중초등학교,주말,07시~08시,347
성남시,2023,1,330,산성동-운중초등학교,주말,08시~09시,569
성남시,2023,1,330,산성동-운중초등학교,주말,09시~10시,590
성남시,2023,1,330,산성동-운중초등학교,주말,10시~11시,669
성남시,2023,1,330,산성동-운중초등학교,주말,11시~12시,958
성남시,2023,1,330,산성동-운중초등학교,주말,12시~13시,690
성남시,2023,1,330,산성동-운중초등학교,주말,13시~14시,901
성남시,2023,1,330,산성동-운중초등학교,주말,14시~15시,824
성남시,2023,1,330,산성동-운중초등학교,주말,15시~16시,728
성남시,2023,1,330,산성동-운중초등학교,주말,16시~17시,739
성남시,2023,1,330,산성동-운중초등학교,주말,17시~18시,842
성남시,2023,1,330,산성동-운중초등학교,주말,18시~19시,588
성남시,2023,1,330,산성동-운중초등학교,주말,19시~20시,555
성남시,2023,1,330,산성동-운중초등학교,주말,20시~21시,438
성남시,2023,1,330,산성동-운중초등학교,주말,21시~22시,547
