노선번호,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명,x좌표,y좌표
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000025,62,단대오거리역.(구)종점,06208,성남,127.1556833,37.4440333
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000165,63,단대쇼핑,06052,성남,127.1589667,37.4448
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000164,64,금광1.2동행정복지센터.중원어린이도서관,06068,성남,127.1626833,37.4453833
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000163,65,신구대학.향군회관,06081,성남,127.1663333,37.4463667
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000162,66,신구대학사거리,06084,성남,127.1675,37.4458
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000161,67,성남중원경찰서.e편한세상금빛그랑메종5단지후문,06087,성남,127.1677333,37.4427667
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000160,68,구서고.금상초교,06074,성남,127.1648167,37.4421333
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000159,69,대일초교.학년쇼핑,06067,성남,127.1623333,37.4403833
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000158,70,현성아름빌아파트,06063,성남,127.1608167,37.4389833
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000157,71,상대원시장.새마을금고,06055,성남,127.15915,37.43745
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000065,72,대원사거리,06066,성남,127.1611833,37.4330167
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000064,73,상대원1동행정복지센터,06073,성남,127.1643833,37.4326167
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000063,74,공단본부.샤니,06092,성남,127.1685167,37.4324667
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000062,75,고려당사거리,06108,성남,127.1715333,37.4335333
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000061,76,공단오거리.공단주유소,06117,성남,127.1735667,37.43435
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000060,77,스타타워.동방렌탈,06131,성남,127.1762833,37.4343333
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000059,78,보통골동양공업사,06140,성남,127.1789667,37.4351
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000058,79,근로자종합복지관,06138,성남,127.1787667,37.4385333
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000057,80,궁전아파트.성지아파트,06143,성남,127.1790167,37.4399
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000030,81,자동차검사소.산성아파트,06136,성남,127.1783833,37.4416833
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000186,82,차고지,06172,성남,127.1791167,37.4438833
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000101,1,산성역.포레스티아동문,05091,성남,127.1496167,37.4548167
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000127,2,산성동행정복지센터,05094,성남,127.1501167,37.4516
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000126,3,성남혜은학교.수정청소년수련관,05102,성남,127.1528167,37.4496667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000125,4,성남세무서.미도아파트,05110,성남,127.1552167,37.4465167
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000165,5,단대쇼핑,06052,성남,127.1589667,37.4448
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000164,6,금광1.2동행정복지센터.중원어린이도서관,06068,성남,127.1626833,37.4453833
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000163,7,신구대학.향군회관,06081,성남,127.1663333,37.4463667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000125,8,하원초등학교.신구대학,06100,성남,127.16925,37.447
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000076,9,한양수자인성남마크뷰,06144,성남,127.1709167,37.4479833
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000068,10,숭신여자중고교.래미안금광아파트,06104,성남,127.1710833,37.4489
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000004,11,하원초등학교,06101,성남,127.1694333,37.4472667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000003,12,신구대학,06089,성남,127.1679667,37.4469667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000168,13,신구대학.향군회관,06082,성남,127.166,37.4465667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000167,14,금광1.2동행정복지센터.중원어린이도서관,06071,성남,127.1634167,37.4458833
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000166,15,단대쇼핑,06056,성남,127.1592,37.44495
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000006,16,단대오거리역.세이브존,05109,성남,127.1553,37.44445
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000005,17,성남우체국,05097,성남,127.15045,37.4421667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000268,18,신흥역.종합시장,05241,성남,127.1462,37.4406833
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000119,19,성남시의료원.신흥1동행정복지센터,05062,성남,127.14005,37.4435
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000096,20,성남시여성비전센터.성남수정새마을금고.한국사회적기업진흥원,05080,성남,127.1373667,37.4427167
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000100,21,중앙시장,05046,성남,127.1340667,37.4417333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000099,22,통계청.태평역,05039,성남,127.1297667,37.4404667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000019,23,성남수정경찰서,05033,성남,127.12765,37.4418333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000022,24,수진리고개.태평고개,05032,성남,127.1272333,37.4446667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000021,25,가천대역.가천대학교,05030,성남,127.1269333,37.4489333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000020,26,복우물.웃말입구,05031,성남,127.1268167,37.4533167
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000227,27,복정파출소.복정캠퍼스맛집거리,05205,성남,127.1266667,37.4555
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000116,28,동서울대학교,05141,성남,127.1260833,37.4590333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000115,29,복정초등학교,05142,성남,127.1262167,37.4617833
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000114,30,복정동행정복지센터,05027,성남,127.1266167,37.46625
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,서울,123000329,31,복정역2번출구,,서울,127.1268667,37.4691667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,277104325,32,복정역교차로(경유),,성남,127.1269667,37.4705833
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,277104240,33,복정삼거리(경유),,성남,127.1325,37.4682
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000308,34,위례서일로마을입구,05281,성남,127.1367,37.4666333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000323,35,위례자이,05307,성남,127.13715,37.4703333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000326,36,위례센트럴자이,05313,성남,127.1373667,37.4733167
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,서울,123000630,37,위례포레샤인.위례31단지후문,,서울,127.1339167,37.4748333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,서울,123000645,38,위례31단지정문,,서울,127.1323667,37.47265
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000336,39,위례중앙초등학교.성남위례36단지,05326,성남,127.1340833,37.47115
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000238,40,위례자이정문,05309,성남,127.1394833,37.4709333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000236,41,성남시위례동행정복지센터.위례아트리버푸르지오,05176,성남,127.1422833,37.4708167
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000034,42,래미안위례.위례고운초등학교앞,05081,성남,127.1445333,37.4707333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000090,43,밀리토피아시티.위례역푸르지오,05180,성남,127.14405,37.46735
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000330,44,남위례역.창곡교차로,05320,성남,127.1417667,37.4641667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000097,45,위례래미안이편한세상.힐스테이트위례,05060,성남,127.1442667,37.4671167
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000093,46,래미안위례.위례고운초등학교앞,05082,성남,127.14365,37.4710333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000240,47,성남시위례동행정복지센터.위례보미리즌빌,05069,성남,127.1416333,37.4710833
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000235,48,위례중앙중학교,05308,성남,127.1380167,37.4712333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000335,49,위례중앙초등학교.성남위례36단지,05325,성남,127.1342,37.47135
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,서울,123000644,50,위례31단지정문,,서울,127.1326333,37.4735333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,서울,123000631,51,위례31단지.위례포레샤인후문,,서울,127.13365,37.4745833
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000327,52,위례31단지,05314,성남,127.1368333,37.4730833
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000322,53,위례자이,05297,성남,127.1367167,37.46995
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000317,54,위례서일로마을입구,05303,성남,127.1361667,37.46665
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000147,55,복정고등학교.복정지구,05158,성남,127.1352667,37.4658667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,서울,123000316,56,복정역환승센터1번승강장,,서울,127.1272167,37.4700333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,서울,123000249,57,장지동,92072,서울,127.1263333,37.46915
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000113,58,복정동행정복지센터,05026,성남,127.1260833,37.4661
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000112,59,동서울대학교,05025,성남,127.1256,37.4604333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000253,60,복정파출소.복정캠퍼스맛집거리,05170,성남,127.1258667,37.4567333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000111,61,복우물.웃말입구,05028,성남,127.1262333,37.4541167
