노선번호,기점,종점,노선아이디,노선번호,노선유형,노선유형명,지역명,,,
4000,수원남부버스공영차고지,사송동종점,200000314,4000,11,직행좌석형시내버스,"성남,수원",,,
4101,한숲3단지,숭례문,228000413,4101,11,직행좌석형시내버스,"서울,용인",,,
4108,나루마을.월드반도,서울역버스환승센터(6번승강장)(중),233000270,4108,11,직행좌석형시내버스,"서울,화성",,,
4401,한경국립대학교,신분당선강남역(중),228000419,4401,11,직행좌석형시내버스,"서울,안성",,,
4402,동아방송예술대학교시외버스정류장,양재역.서초문화예술회관(중),231000139,4402,11,직행좌석형시내버스,"서울,안성",,,
4403,나루마을.월드반도,강남역티월드,233000265,4403,11,직행좌석형시내버스,"서울,화성",,,
500-1,동원대학교,잠실광역환승센터,234000079,500-1,11,직행좌석형시내버스,"광주,서울,성남",,,
500-2,동원대학교,무역센터,234000075,500-2,11,직행좌석형시내버스,"광주,서울,성남",,,
5000A,초당주공3단지후문,서울역버스환승센터(5번승강장)(중),228000388,5000A,11,직행좌석형시내버스,"서울,용인",,,
5000B,명지대,서울역버스환승센터(5번승강장)(중),228000174,5000B,11,직행좌석형시내버스,"서울,용인",,,
5001-1A,명지대,신논현역.주류성빌딩,228000430,5001-1A,11,직행좌석형시내버스,"서울,용인",,,
5001-1B,명지대,신논현역,228000177,5001-1B,11,직행좌석형시내버스,"서울,용인",,,
5001A,남동차고지,신논현역.주류성빌딩,228000429,5001A,11,직행좌석형시내버스,"서울,용인",,,
5001B,남동차고지,신논현역,228000176,5001B,11,직행좌석형시내버스,"서울,용인",,,
5002A,남동차고지,신논현역.주류성빌딩,228000394,5002A,11,직행좌석형시내버스,"서울,용인",,,
5002B,남동차고지,신논현역,228000183,5002B,11,직행좌석형시내버스,"서울,용인",,,
5003A,남동차고지,신논현역.주류성빌딩,228000431,5003A,11,직행좌석형시내버스,"서울,용인",,,
5003B,남동차고지,신논현역,228000182,5003B,11,직행좌석형시내버스,"서울,용인",,,
5005,명지대,서울역버스환승센터(5번승강장)(중),228000175,5005,11,직행좌석형시내버스,"서울,용인",,,
5006,광교차고지,신분당선강남역(중),228000262,5006,11,직행좌석형시내버스,"서울,수원,용인",,,
5007,광교차고지,서울역버스환승센터(5번승강장)(중),228000263,5007,11,직행좌석형시내버스,"서울,수원,용인",,,
5100,사색의광장,신분당선강남역(중),200000115,5100,11,직행좌석형시내버스,"서울,수원,용인",,,
5200,용남고속차고지,KCC사옥,200000299,5200,11,직행좌석형시내버스,"서울,오산",,,
5300,용남고속차고지,신논현역.인터파크,200000175,5300,11,직행좌석형시내버스,"서울,오산",,,3
5401,평택지제역,신분당선강남역(중),234001742,5401,11,직행좌석형시내버스,"서울,평택",,,3
Feb-00,광교차고지,세종문화회관,234000148,Feb-00,11,직행좌석형시내버스,"서울,수원,용인",,,
5600,명지대,테크노마트앞.강변역(C),228000184,5600,11,직행좌석형시내버스,"서울,성남,용인",,,
5700A,명지대,테크노마트앞.강변역(C),228000395,5700A,11,직행좌석형시내버스,"서울,성남,용인",,,
5700B,명지대,테크노마트앞.강변역(C),228000271,5700B,11,직행좌석형시내버스,"서울,성남,용인",,,
6001,동탄2차고지,신분당선강남역(중),233000131,6001,11,직행좌석형시내버스,"서울,화성",,,
6002,동탄2차고지,신분당선강남역(중),233000136,6002,11,직행좌석형시내버스,"서울,화성",,,
02-Jan,한화꿈에그린,신분당선강남역(중),233000142,02-Jan,11,직행좌석형시내버스,"서울,화성",,,
6003,동탄2차고지,판교역.낙생육교.현대백화점,233000266,6003,11,직행좌석형시내버스,"성남,화성",,,
6004,동탄국제고등학교,신분당선강남역(중),234000314,6004,11,직행좌석형시내버스,"서울,화성",,,
6008,동탄2차고지,서초아트자이아파트,233000321,6008,11,직행좌석형시내버스,"서울,화성",,,
6011,호수자이파밀리에.아이원,판교역.낙생육교.현대백화점,233000392,6011,11,직행좌석형시내버스,"성남,화성",,,
6600,비전푸르지오(중),신분당선강남역(중),234001697,6600,11,직행좌석형시내버스,"서울,평택",,,
6801,평택지제역,야탑역.종합버스터미널(광역버스),234001739,6801,11,직행좌석형시내버스,"성남,안성,평택",,,
6802,삼성전자(중),야탑역.종합버스터미널(전면),214000273,6802,11,직행좌석형시내버스,"성남,평택",,,
6900,광교차고지,잠실종합운동장,234000027,6900,11,직행좌석형시내버스,"서울,성남,수원,용인",,,
7002,수원남부버스공영차고지,인덕원역1번출구,200000109,7002,11,직행좌석형시내버스,"수원,안양,용인,의왕",,,
07-Jan,단국대.치과병원,한국거래소,228000393,07-Jan,11,직행좌석형시내버스,"과천,서울,성남,용인,의왕",,,
7200,동탄2차고지,인덕원역1번출구,233000325,7200,11,직행좌석형시내버스,"수원,안양,용인,의왕,화성",,,
8100,단국대.치과병원,을지로입구역.광교,234000878,8100,11,직행좌석형시내버스,"서울,성남,용인",,,2
8106,구미동차고지(경유),상동역1번출구.부천터미널소풍.홈플러스,234001237,8106,11,직행좌석형시내버스,"부천,성남,시흥,의왕",,,
8201,안성종합버스터미널(시외버스),야탑역.종합버스터미널(광역버스),234001730,8201,11,직행좌석형시내버스,"성남,안성",,,
8301,두곡1교,야탑역.종합버스터미널(전면),234001741,8301,11,직행좌석형시내버스,"성남,오산",,,
8302,오산역환승센터2층(2승강장),야탑역.종합버스터미널(전면),234001745,8302,11,직행좌석형시내버스,"성남,오산,화성",,,
8401,낙양동공영차고지,수원역.노보텔수원,234001426,8401,11,직행좌석형시내버스,"구리,남양주,성남,수원,의왕,의정부",,,
8409,낙양동공영차고지,수원역.노보텔수원,234001246,8409,11,직행좌석형시내버스,"구리,남양주,성남,수원,의왕,의정부",,,
8501,수원대학교,강남역우리은행,233000135,8501,11,직행좌석형시내버스,"서울,화성",,,
8502,수원대학교,강남역우리은행,233000333,8502,11,직행좌석형시내버스,"서울,화성",,,
8800,수원버스터미널,서울역버스환승센터(6번승강장)(중),200000205,8800,11,직행좌석형시내버스,"서울,수원",,,
9202,상산곡동.공영차고지,학동역,227000035,9202,11,직행좌석형시내버스,"서울,성남,하남",,,
G2100,이천역,잠실광역환승센터,230000179,G2100,11,직행좌석형시내버스,"서울,성남,이천",,,
G3202,광주터미널,무역센터,234001695,G3202,11,직행좌석형시내버스,"광주,서울",,,
G3900,월암종점,양재역,226000022,G3900,11,직행좌석형시내버스,"서울,의왕",,,
G5100,경희대학교,신분당선강남역(중),200000262,G5100,11,직행좌석형시내버스,"서울,수원,용인",,,
