연도,월,노선,노선아이디,기점,종점,일시,시간,이용객수,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,21시~22시,980,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,21시~22시,980,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,21시~22시,324,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,21시~22시,324,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,22시~23시,378,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,22시~23시,378,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,22시~23시,875,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,22시~23시,875,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,23시~24시,136,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,23시~24시,385,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,23시~24시,136,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,23시~24시,385,,,
2023,1,300,206000003,오리역,은대미,평일,00시~01시,203,,,
2023,1,300,206000003,오리역,은대미,평일,04시~05시,11,,,
2023,1,300,206000003,오리역,은대미,평일,05시~06시,372,,,
2023,1,300,206000003,오리역,은대미,평일,06시~07시,1229,,,
2023,1,300,206000003,오리역,은대미,평일,07시~08시,2252,,,
2023,1,300,206000003,오리역,은대미,평일,08시~09시,3470,,,
2023,1,300,206000003,오리역,은대미,평일,09시~10시,2006,,,
2023,1,300,206000003,오리역,은대미,평일,10시~11시,1483,,,
2023,1,300,206000003,오리역,은대미,평일,11시~12시,1539,,,
2023,1,300,206000003,오리역,은대미,평일,12시~13시,1625,,,
2023,1,300,206000003,오리역,은대미,평일,13시~14시,2009,,,
2023,1,300,206000003,오리역,은대미,평일,14시~15시,2123,,,
2023,1,300,206000003,오리역,은대미,평일,15시~16시,2519,,,
2023,1,300,206000003,오리역,은대미,평일,16시~17시,2322,,,
2023,1,300,206000003,오리역,은대미,평일,17시~18시,2935,,,
2023,1,300,206000003,오리역,은대미,평일,18시~19시,3349,,,
2023,1,300,206000003,오리역,은대미,평일,19시~20시,2231,,,
2023,1,300,206000003,오리역,은대미,평일,20시~21시,1447,,,
2023,1,300,206000003,오리역,은대미,평일,21시~22시,1470,,,
2023,1,300,206000003,오리역,은대미,평일,22시~23시,1258,,,
2023,1,300,206000003,오리역,은대미,평일,23시~24시,884,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,00시~01시,11,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,05시~06시,28,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,06시~07시,121,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,07시~08시,253,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,08시~09시,413,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,09시~10시,378,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,10시~11시,210,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,11시~12시,123,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,12시~13시,147,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,13시~14시,151,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,14시~15시,130,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,15시~16시,124,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,16시~17시,238,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,17시~18시,359,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,18시~19시,337,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,19시~20시,372,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,20시~21시,150,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,21시~22시,134,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,22시~23시,155,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,평일,23시~24시,68,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,05시~06시,76,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,06시~07시,170,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,07시~08시,521,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,08시~09시,842,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,09시~10시,571,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,10시~11시,311,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,11시~12시,269,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,12시~13시,268,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,13시~14시,290,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,14시~15시,227,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,15시~16시,291,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,16시~17시,411,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,17시~18시,512,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,18시~19시,696,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,19시~20시,535,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,20시~21시,287,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,21시~22시,266,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,22시~23시,239,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,평일,23시~24시,61,,,
2023,1,33,204000020,사기막골,율동공원,평일,00시~01시,23,,,
2023,1,33,204000020,사기막골,율동공원,평일,04시~05시,194,,,
2023,1,33,204000020,사기막골,율동공원,평일,05시~06시,476,,,
2023,1,33,204000020,사기막골,율동공원,평일,06시~07시,832,,,
2023,1,33,204000020,사기막골,율동공원,평일,07시~08시,1628,,,
2023,1,33,204000020,사기막골,율동공원,평일,08시~09시,2423,,,
2023,1,33,204000020,사기막골,율동공원,평일,09시~10시,1327,,,
2023,1,33,204000020,사기막골,율동공원,평일,10시~11시,963,,,
2023,1,33,204000020,사기막골,율동공원,평일,11시~12시,1104,,,
2023,1,33,204000020,사기막골,율동공원,평일,12시~13시,1043,,,
2023,1,33,204000020,사기막골,율동공원,평일,13시~14시,1270,,,
2023,1,33,204000020,사기막골,율동공원,평일,14시~15시,1197,,,
2023,1,33,204000020,사기막골,율동공원,평일,15시~16시,1537,,,
2023,1,33,204000020,사기막골,율동공원,평일,16시~17시,1493,,,
2023,1,33,204000020,사기막골,율동공원,평일,17시~18시,2012,,,
2023,1,33,204000020,사기막골,율동공원,평일,18시~19시,2225,,,
2023,1,33,204000020,사기막골,율동공원,평일,19시~20시,1471,,,
2023,1,33,204000020,사기막골,율동공원,평일,20시~21시,1068,,,
2023,1,33,204000020,사기막골,율동공원,평일,21시~22시,1034,,,
2023,1,33,204000020,사기막골,율동공원,평일,22시~23시,888,,,
2023,1,33,204000020,사기막골,율동공원,평일,23시~24시,282,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,00시~01시,7,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,04시~05시,226,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,05시~06시,415,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,06시~07시,712,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,07시~08시,1216,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,08시~09시,1847,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,09시~10시,907,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,10시~11시,496,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,11시~12시,390,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,12시~13시,593,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,13시~14시,686,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,14시~15시,649,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,15시~16시,873,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,16시~17시,967,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,17시~18시,1124,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,18시~19시,1910,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,19시~20시,1252,,,
2023,1,Jan-33,204000019,산성동,청구아파트,평일,20시~21시,799,,,
