연도,월,노선,노선아이디,기점,종점,일시,시간,이용객수,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,18시~19시,1000,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,19시~20시,791,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,20시~21시,547,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,21시~22시,652,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,22시~23시,568,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,23시~24시,321,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,04시~05시,107,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,05시~06시,363,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,06시~07시,499,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,07시~08시,347,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,08시~09시,569,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,09시~10시,590,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,10시~11시,669,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,11시~12시,958,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,12시~13시,690,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,13시~14시,901,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,14시~15시,824,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,15시~16시,728,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,16시~17시,739,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,17시~18시,842,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,18시~19시,588,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,19시~20시,555,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,20시~21시,438,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,21시~22시,547,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,22시~23시,313,,,,,
2023,1,330,204000039,산성동,운중초등학교,주말,23시~24시,86,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,05시~06시,49,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,06시~07시,76,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,07시~08시,90,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,08시~09시,171,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,09시~10시,198,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,10시~11시,181,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,11시~12시,225,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,12시~13시,185,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,13시~14시,237,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,14시~15시,223,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,15시~16시,236,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,16시~17시,194,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,17시~18시,162,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,18시~19시,238,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,19시~20시,184,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,20시~21시,147,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,21시~22시,152,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,22시~23시,138,,,,,
2023,1,331,204000084,성남동대형주차장,고속철도수서역,주말,23시~24시,68,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,00시~01시,18,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,04시~05시,36,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,05시~06시,143,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,06시~07시,149,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,07시~08시,147,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,08시~09시,239,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,09시~10시,176,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,10시~11시,366,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,11시~12시,290,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,12시~13시,296,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,13시~14시,270,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,14시~15시,307,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,15시~16시,341,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,16시~17시,402,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,17시~18시,327,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,18시~19시,268,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,19시~20시,203,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,20시~21시,166,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,21시~22시,156,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,22시~23시,64,,,,,
2023,1,340,204000040,판교대장로동측,영원무역,주말,23시~24시,61,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,05시~06시,108,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,06시~07시,107,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,07시~08시,144,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,08시~09시,236,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,09시~10시,324,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,10시~11시,332,,,,,
