노선번호,기점,종점,노선아이디,노선번호,노선유형,노선유형명,지역명
55,(임시)금토동삼거리,남한산성입구.양지파출소,228000286,55,13,일반형시내버스,"수원,용인"
55,(임시)금토동삼거리,남한산성입구.양지파출소,241363001,55,30,마을버스,"오산,화성"
55,(임시)금토동삼거리,남한산성입구.양지파출소,241284001,55,30,마을버스,평택
55,(임시)금토동삼거리,남한산성입구.양지파출소,241425013,55,30,마을버스,"수원,용인"
55,(임시)금토동삼거리,남한산성입구.양지파출소,241275002,55,30,마을버스,김포
57,선경아파트,세곡동사거리,218000154,57,13,일반형시내버스,"고양,서울"
57,선경아파트,세곡동사거리,236000046,57,13,일반형시내버스,"동두천,연천,포천"
57,선경아파트,세곡동사거리,210000040,57,13,일반형시내버스,"부천,서울"
57,선경아파트,세곡동사거리,204000005,57,13,일반형시내버스,"서울,성남"
57,선경아파트,세곡동사거리,241423006,57,30,마을버스,"광주,용인"
6,상대원차고지,남한산성입구.양지파출소,215000226,6,13,일반형시내버스,동두천
6,상대원차고지,남한산성입구.양지파출소,210000019,6,13,일반형시내버스,부천
6,상대원차고지,남한산성입구.양지파출소,228000168,6,13,일반형시내버스,"안성,용인"
6,상대원차고지,남한산성입구.양지파출소,236000238,6,13,일반형시내버스,포천
6,상대원차고지,남한산성입구.양지파출소,208000013,6,13,일반형시내버스,"안양,의왕"
6,상대원차고지,남한산성입구.양지파출소,233000040,6,13,일반형시내버스,화성
6,상대원차고지,남한산성입구.양지파출소,204000004,6,13,일반형시내버스,성남
6,상대원차고지,남한산성입구.양지파출소,220000012,6,13,일반형시내버스,"과천,서울"
6,상대원차고지,남한산성입구.양지파출소,216000077,6,13,일반형시내버스,안산
6,상대원차고지,남한산성입구.양지파출소,222000029,6,13,일반형시내버스,남양주
6,상대원차고지,남한산성입구.양지파출소,234001611,6,13,일반형시내버스,이천
6,상대원차고지,남한산성입구.양지파출소,240000016,6,23,일반형농어촌버스,양평
6,상대원차고지,남한산성입구.양지파출소,241201005,6,30,마을버스,수원
6,상대원차고지,남한산성입구.양지파출소,241338001,6,30,마을버스,구리
6,상대원차고지,남한산성입구.양지파출소,241374008,6,30,마을버스,시흥
6,상대원차고지,남한산성입구.양지파출소,241318003,6,30,마을버스,화성
