노선번호_x,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명.1,x좌표,y좌표,정류소아이디2,통과노선수,상세위치,시내버스_경유노선번호,시외버스_경유노선번호
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000192,40,그린빌리지,6174,성남,127.1718167,37.4524,205000192,2,빌라 앞,"810(시내),6(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000101,41,황송터널.은행1동,6118,성남,127.1736,37.4522,205000101,3,황송터널,"88-1(마을),88(마을),333(시내),51(시내),6(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000241,42,산성아파트,6352,성남,127.179,37.4420833,205000241,1,산성아파트101동앞,6(시내),해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000038,43,궁전아파트.성지아파트,6146,성남,127.17875,37.4397167,205000038,9,SK테크노파크2차,"55(시내),100(시내),340(시내),6(시내),220(시내),33(시내),3-1(시내),9400(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000037,44,근로자종합복지관,6139,성남,127.1785167,37.4383167,205000037,9,농협,"9400(시내),340(시내),33(시내),100(시내),3-1(시내),55(시내),6(시내),220(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000134,45,보통골동양공업사,6142,성남,127.1787833,37.4346667,205000134,15,OCI중앙연구소,"6(시내),100(시내),340(시내),357(시내),33(시내),4425(서울),9400(시내),302(서울),303(서울),220(시내),3-1(시내),350(시내),55(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000133,46,스타타워.동방렌탈,6132,성남,127.1763167,37.4345,205000133,13,대한교과서,"350(시내),340(시내),3-1(시내),55(시내),6(시내),33(시내),303(서울),302(서울),4425(서울),220(시내),100(시내),357(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000132,47,공단오거리.공단주유소,6115,성남,127.1734833,37.4345333,205000132,9,예인테크,"220(시내),3-5(마을),303(서울),6(시내),55(시내),3-1(시내),302(서울),100(시내),382(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000131,48,고려당사거리,6109,성남,127.1713833,37.43375,205000131,9,샤니건너,"220(시내),55(시내),3-1(시내),382(시내),6(시내),302(서울),303(서울),3-5(마을),100(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000130,49,공단본부.샤니,6093,성남,127.1687,37.43275,205000130,9,중앙인더스피아,"220(시내),100(시내),3-1(시내),3-5(마을),303(서울),302(서울),55(시내),382(시내),6(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000089,50,상대원파출소.소방소,6091,성남,127.1684167,37.4318167,205000089,4,KB국민은행,"3-3(마을),31-3(시내),9400(시내),31-2(시내),6(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000088,51,공단본부입구.반포산업사거리,6126,성남,127.1734333,37.4310667,205000088,4,반포산업사거리,"3-3(마을),6(시내),31-2(시내),31-3(시내),9400(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000087,52,벽산테크노피아.성남소각장,6133,성남,127.1771833,37.4312833,205000087,4,소각장,"6(시내),3-3(마을),31-3(시내),3-5(마을),31-2(시내),9400(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000234,53,상대원차고지,6218,성남,127.1791667,37.4355333,205000234,6,차고지앞,"350(시내),303(서울),4425(서울),302(서울),6(시내),357(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000167,1,선경아파트,7389,성남,127.1557,37.4055,206000167,3,테크노파크A동입구,"57(시내),50(시내),60(시내)",해당없음
