노선번호_x,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명.1,x좌표,y좌표,,,,,i,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000007,28,성남중원경찰서.e편한세상금빛그랑메종5단지후문,6088,성남,127.16785,37.4425167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000031,29,황송마을아파트,6094,성남,127.16865,37.44495,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000006,30,대원중.금광중,6106,성남,127.1707333,37.4460333,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000005,31,한양수자인성남마크뷰.황성게이트볼장,6114,성남,127.1723333,37.44785,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000004,32,하원초등학교,6101,성남,127.1694333,37.4472667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000003,33,신구대학,6089,성남,127.1679667,37.4469667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000168,34,신구대학.향군회관,6082,성남,127.166,37.4465667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000167,35,금광1.2동행정복지센터.중원어린이도서관,6071,성남,127.1634167,37.4458833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000166,36,단대쇼핑,6056,성남,127.1592,37.44495,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000006,37,단대오거리역.세이브존,5109,성남,127.1553,37.44445,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000005,38,성남우체국,5097,성남,127.15045,37.4421667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000268,39,신흥역.종합시장,5241,성남,127.1462,37.4406833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000007,40,수진역.성호시장.성일중고입구,5070,성남,127.1422167,37.4385667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000056,41,MD아파트,5059,성남,127.13825,37.4365167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000055,42,수성교.소방서,5052,성남,127.1349333,37.4352667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000334,43,풍생고등학교.풍생중학교,5324,성남,127.1313333,37.43445,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000020,44,모란역6.7번출구,6003,성남,127.1288667,37.4317833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000245,45,성남시청전면,6229,성남,127.1285,37.4181667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000361,46,동부.코오롱아파트,7367,성남,127.1285167,37.4158833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000157,47,야탑역.종합버스터미널(전면),7201,성남,127.1285,37.4114167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000258,48,야탑2동행정복지센터.차병원,7189,성남,127.1267167,37.4099667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000358,49,탄천종합운동장,7362,성남,127.1222167,37.4110833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000356,50,분당야탑물류센터,7360,성남,127.1194167,37.4153,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000197,51,사송동선사교회,5187,성남,127.1171833,37.4200833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000004,52,여수대교,5024,성남,127.1157833,37.4223667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000154,53,시흥동행정복지센터,5165,성남,127.1087167,37.4226,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000003,54,시흥동농협창고,5018,성남,127.1059167,37.4225833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000002,55,고등119안전센터,5010,성남,127.1024667,37.4246833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000001,56,고등동행정복지센터.판교밸리자이아파트,5008,성남,127.10205,37.4283333,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000046,57,등자리,5013,성남,127.1037833,37.4352667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000223,58,공군부대제2정문.면회실,5199,성남,127.1040167,37.43805,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000045,59,공군아파트,5014,성남,127.1043333,37.4465833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000044,60,효성고등학교,5017,성남,127.10575,37.4498,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000043,61,오야동.신촌동행정복지센터,5020,성남,127.1071167,37.4552833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000042,62,신촌동앞,5022,성남,127.1077667,37.4598167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,서울,122000308,63,세곡동사거리,,서울,127.1079,37.4637167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000041,64,신촌동앞,5021,성남,127.1072667,37.4592167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000040,65,오야동.신촌동행정복지센터,5019,성남,127.1065333,37.4544,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000039,66,효성고등학교,5016,성남,127.1050167,37.4490167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000057,67,공군아파트,5012,성남,127.1036,37.4457667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000222,68,공군부대제2정문.면회실,5198,성남,127.10345,37.4386333,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000038,69,등자리,5011,성남,127.1031833,37.4341833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000062,70,고등동행정복지센터.판교밸리자이아파트,5005,성남,127.10165,37.4282167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000037,71,고등119안전센터,5007,성남,127.1020333,37.4246,,,,,,,,,,,
