연도,관할지역,버스유형,정류소ID,정류소번호,정류소명,통과노선수,정류소아이디,정류소명2,정류소번호2,x좌표,y좌표,행정동,정류장명,상세위치,시내버스_경유노선번호,시외버스_경유노선번호
2023,성남시,일반,206000784,7643,야탑역.종합버스터미널(광역버스),17,206000784,야탑역.종합버스터미널(광역버스),7643,127.1289667,37.4127167,야탑1동,야탑역.종합버스터미널(광역버스),홈플러스건너,"3330(시내),반디1-1(시내),3100(시내),8201(시내),6801(시내),4000(시내),9408(서울),9403(서울),반디2(시내),8109(시내),반디1(시내),9300(시내),3000(시내),9607(시내),4500(시내),1005(시내)",해당없음
2023,성남시,일반,206000795,7677,봇들마을7.8단지.롯데마트판교점(마을),2,206000795,봇들마을7.8단지.롯데마트판교점(마을),7677,127.1144,37.3960833,삼평동,봇들마을7.8단지.롯데마트판교점(마을),8단지정문,"3100(시내),340(시내),76(마을),602(마을)",해당없음
2023,성남시,일반,206000319,7219,효자촌,8,206000319,효자촌,7219,127.1334667,37.3773667,서현2동,효자촌,뚜레쥬르 / 21세기의원,"51(시내),9401(서울),9403(서울),9408(서울),33-1(시내),9000(시내),9407(시내)",해당없음
2023,성남시,일반,205000162,6084,신구대학사거리,10,205000162,신구대학사거리,6084,127.1675,37.4458,금광1동,신구대학사거리,농협앞,"60(시내),87(마을),100출(시내),3-1(시내),340(시내),382(시내),33(시내),100(시내),3-4(마을),720-1A(시내),33-1(시내),55(시내)",해당없음
2023,성남시,일반,205000075,6154,모란역,4,205000075,모란역,6154,127.1288833,37.4316167,성남동,모란역,농협,"3-1(시내),32(시내),320(시내),32-1(시내)",해당없음
2023,성남시,일반,206000197,7052,두산위브제니스,11,206000197,두산위브제니스,7052,127.1083167,37.3695333,정자1동,두산위브제니스,두산제니스타워건너,"1303(시내),390(시내),1101(시내),누리4(시내),380(시내),102(시내),1101N(시내),300(시내),520(시내),250(시내),220(시내),117(마을)",해당없음
2023,성남시,일반,205000372,6353,모란시장,3,205000372,모란시장,6353,127.1257333,37.4297833,성남동,모란시장,모란시장건너편,"86(마을),52(시내),88(마을),331(시내),382(시내)",해당없음
2023,성남시,일반,205000080,0,신흥역하늘채3단지,1,205000080,신흥역하늘채3단지,6039,127.152,37.4413,중앙동,신흥역하늘채3단지,하늘채 303동앞,8(마을),해당없음
2023,성남시,일반,206000194,7279,장안중학교,1,206000194,장안중학교,7279,127.1458833,37.3715833,분당동,장안중학교,장안중학교앞,"520(시내),3-2(마을)",해당없음
2023,성남시,일반,206000184,7325,중앙공원.샛별마을우방아파트,9,206000184,중앙공원.샛별마을우방아파트,7325,127.1261833,37.3726333,분당동,중앙공원.샛별마을우방아파트,중앙공원앞,"9000(시내),51(시내),720-2(시내),9000-1(시내),33-1(시내),9403(서울),9408(서울),9407(시내)",해당없음
2023,성남시,일반,206000186,7218,동아우성아파트.효자촌.시범단지,9,206000186,동아우성아파트.효자촌.시범단지,7218,127.133,37.3773833,서현1동,동아우성아파트.효자촌.시범단지,하나은행 / 파리바게뜨,"51(시내),33-1(시내),9000(시내),9000-1(시내),9401(서울),9407(시내)",해당없음
2023,성남시,일반,206000285,7262,양영디지털고등학교,2,206000285,양영디지털고등학교,7262,127.1413167,37.3727333,분당동,양영디지털고등학교,분당남부교회,"602-1A(마을),33(시내),17(시내)",해당없음
2023,성남시,일반,206000287,7281,율동공원,11,206000287,율동공원,7281,127.1468667,37.3728333,분당동,율동공원,율동공원주차장앞,"17-1A(시내),119(시내),33(시내),522(시내),1500-2(시내),522-2(시내),602-1A(마을),17-1(시내),1151(시내),521(시내),17(시내),1150(시내)",해당없음
